review_rating,level_1,review_text,author_id,author_name,author_app_version,review_datetime_utc,review_likes
1,203425,"Why is it so hard to verify an account in this app,I already presented 3 types of ID as what is on the list and still not type of ID?How disappointing 🤦 I've been trying to verify my account for almost 2 years🥺",111119*********315579,A Google user,5.56.0,2022-09-22 07:06:52+00:00,0
1,219226,Its crashing and disappearing in my phone. U better fix it because I still have gcredit and Ggives balance 😂😂😂,112637*********055529,A Google user,5.59.0,2022-12-02 03:37:31+00:00,0
1,188163,Ive been waiting for my account verification for 1 month almost 2 now still my acc is still in upgrade process,118380*********659850,A Google user,5.54.0,2022-07-24 08:51:53+00:00,0
1,49454,so annoying😒😒,101634*********932342,A Google user,5.26.2,2020-08-06 14:55:56+00:00,0
1,207780,"My application is not working. Done uninstalling and reinstalling but on the OTP there is on button for ""Send/Submit"".",113585*********452005,A Google user,5.57.1,2022-10-13 21:17:08+00:00,0
1,256380,potangina inupdate lang dina naopen,102675*********504400,A Google user,5.64.2,2023-05-28 10:54:59+00:00,0
1,300451,Keeps updating but still with everyday error. Been days that I 'm getting security error with my phone then app will force stop. Cant even do any simple transaction. Aaargh. I have to uninstall and reinstall with no success to fix the issue.,114990*********909722,A Google user,5.69.1,2023-10-27 13:56:38+00:00,2
1,188674,very poor service,115505*********771999,A Google user,5.54.0,2022-07-29 07:56:16+00:00,0
1,154216,The new update with authorization code didn't work,110831*********528580,A Google user,5.50.0,2022-03-25 04:09:45+00:00,0
1,212197,Hindi ko malog-in ang pin ng cash pagkatapos kung mag-update sa apps ng gcash...,109163*********297153,A Google user,5.58.2,2022-11-08 09:32:21+00:00,0
1,223227,"I'm very disappointed in this app because when I need this, I'm wondering that it's gone......",111465*********698044,A Google user,5.59.0,2022-12-09 23:36:36+00:00,0
1,260269,Keep updating for to slow,117974*********165574,A Google user,5.51.0,2023-06-20 02:13:14+00:00,0
1,291782,When I tried to open the app it always disappeared. It was started after I updated the app into the latest version and I tried even until now but it remains the same.,113739*********271310,Ch**************ta,5.69.0,2023-10-16 11:51:16+00:00,1
1,25275,I was almost happy bout GCASH but the fact that i cannot open on my apps its very frustrating. Hope u could establish like a call center where we can tell our problem for our GCASH account.,100662*********004552,A Google user,5.21.2,2019-11-01 03:46:49+00:00,0
1,93281,It's taking too long to verify an account ano na one month na,101443*********478192,A Google user,5.42.0,2021-07-28 01:58:32+00:00,0
1,194223,Ayaw ma update,107120*********507177,A Google user,5.54.0,2022-08-06 12:17:33+00:00,0
1,223948,"It getting more complicated to cash in by a store, due to new transaction fees more store and people was not accepting gcash cash in.. Specially in an area where 7 eleven or machines are not available. And because you need to register before being a gcash partner store makes things very hard.",102865*********703681,A Google user,5.59.1,2022-12-12 07:55:36+00:00,0
1,136795,"What is happening? Everytime I want to open the app, I have to unistall and reinstall the app. It keeps sending me to the app setting and it doesn't show the open option on the app store.",109234*********237261,A Google user,5.47.0,2021-12-16 05:10:18+00:00,49
1,88411,Ang lupet nyo talaga gcash. Lage kayo maintenance ng wala man lang kayo pasabi. Nakaregister naman mga number ng gcash members sanyo. Di man lang kayo mageffort mag announced ng maintenance system nyo!!!!,108453*********410008,A Google user,5.36.0,2021-06-16 11:18:29+00:00,0
1,232452,"Useless app. My only money was robbed that supposed to be used for the medication of my mother-in-law, and when i contacted customer support, they keep asking the same questions. in the end, after a long conversation wasted, they will just tell you to file a police report then send it to them. My gcash account is fully verified but easily taken down by the hacker and took my money.",102570*********627889,A Google user,5.59.0,2023-02-11 01:47:35+00:00,0
1,298007,It always need to update and when we're updating it theres no changes. The only changes is mb of apps🙄,118325*********804149,A Google user,5.67.0,2023-10-24 02:57:19+00:00,0
1,136676,"Gcash keeps on updating but no new features presented. It's so annoying every time I open the app, it keeps on popping up for update",101805*********093776,A Google user,5.46.1,2021-12-15 10:51:10+00:00,1
1,247870,wtfff poor service,115867*********273475,A Google user,5.59.1,2023-05-07 06:01:10+00:00,0
1,249987,"Unuseful help line, until now I can't use my I account. Unresponsive.",111508*********293731,A Google user,5.64.1,2023-05-11 03:31:46+00:00,0
1,215676,I cant login to the app. I keep getting the authentication code but after that there's no submit or enter to proceed. This app is useless.,105503*********470436,A Google user,5.58.2,2022-11-19 09:35:07+00:00,0
1,226134,I have the same issue with others (icon missing but still installed). Please fix immediately.,101975*********100283,A Google user,5.59.1,2022-12-21 03:38:18+00:00,0
1,120413,I bought load and dont recive anything but my balance is gone.,113979*********825902,A Google user,5.45.0,2021-10-16 02:42:35+00:00,0
1,308861,"Gcash Gago.. everyday kita ginagamit, wla MN lng kibo gscore ko.. mga hinayukap kayo.. ka kotsaba nyo ata mga online casino mga peste keu",103619*********041971,A Google user,5.69.3,2023-11-11 16:00:39+00:00,0
1,216180,I really hate it when I waited for too long for the codes to arrive. I waited for almost an hour. I'm really pissed of this kind of service.,110571*********530047,A Google user,5.58.2,2022-11-23 16:26:20+00:00,0
1,229493,This app is start annoying it is always asking an update every time i open it then now i put 1000 asking again an update when i go to the playstore to update i cant update what happen ? Will you please fix this kind of problem?,111772*********996937,A Google user,5.59.1,2023-01-17 23:25:50+00:00,0
1,302792,I can't open my gcash account,100468*********178706,A Google user,5.69.3,2023-11-02 06:05:07+00:00,0
1,43443,"At first Iike this app and I put savings my Gsave CIMB BANK. Last day asked help on gcash customer service at messenger. And they replied and ask some questions, but they AUTOMATICALLY change my mpin and ask my OTP. Only my concern is WHY I CANT SEND MONEY to my friend's coins.ph account. And they get angry when I refused to give my OTP. THEY CHATTED ME CALL US AND LET'S TALK FIGHT. NOW THEY BLOCKED ME on messenger @gcash customer service.",112136*********531444,A Google user,5.29.1,2020-07-08 06:09:50+00:00,0
1,224691,Grabe nman service I cannot transfer my funds to my bank.,103782*********237321,A Google user,5.59.1,2022-12-15 02:12:41+00:00,0
1,41901,Puro update,104645*********735668,A Google user,5.27.2,2020-06-12 09:43:35+00:00,0
